         3789495 function calls (3566026 primitive calls) in 302.661 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6386    7.113    0.001  284.963    0.045 /usr/lib/python3.12/idlelib/rpc.py:352(pollpacket)
        1    0.001    0.001  277.878  277.878 /home/ali/Desktop/Projects/#03 WasReleasedToday/SPE/video_summarizer.py:320(extract_and_combine_clips)
   988/76    0.002    0.000  265.552    3.494 /home/ali/venv/lib/python3.12/site-packages/moviepy/decorators.py:47(requires_duration)
        1    0.000    0.000  264.773  264.773 <decorator-gen-55>:1(write_videofile)
        1    0.000    0.000  264.773  264.773 <decorator-gen-54>:1(write_videofile)
      2/1    0.000    0.000  264.773  264.773 /home/ali/venv/lib/python3.12/site-packages/moviepy/decorators.py:108(use_clip_fps_by_default)
        1    0.000    0.000  264.773  264.773 <decorator-gen-53>:1(write_videofile)
        1    0.001    0.001  264.773  264.773 /home/ali/venv/lib/python3.12/site-packages/moviepy/decorators.py:17(convert_masks_to_RGB)
      660    0.004    0.000  259.731    0.394 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:442(iter_frames)
7073/6385  226.210    0.032  253.673    0.040 {built-in method select.select}
     1657    0.021    0.000  184.046    0.111 /home/ali/venv/lib/python3.12/site-packages/proglog/proglog.py:231(__call__)
      687    0.006    0.000  183.905    0.268 /usr/lib/python3.12/idlelib/run.py:464(write)
      687    0.001    0.000  183.895    0.268 /usr/lib/python3.12/idlelib/rpc.py:606(__call__)
      687    0.002    0.000  183.894    0.268 /usr/lib/python3.12/idlelib/rpc.py:216(remotecall)
      687    0.011    0.000  183.837    0.268 /usr/lib/python3.12/idlelib/rpc.py:246(asyncreturn)
     1544    0.017    0.000  183.102    0.119 /home/ali/venv/lib/python3.12/site-packages/proglog/proglog.py:192(new_iterable)
     1547    0.003    0.000  183.053    0.118 /home/ali/venv/lib/python3.12/site-packages/proglog/proglog.py:328(bars_callback)
     1336    0.002    0.000  182.952    0.137 /home/ali/venv/lib/python3.12/site-packages/tqdm/utils.py:194(inner)
      665    0.003    0.000  181.231    0.273 /home/ali/venv/lib/python3.12/site-packages/tqdm/std.py:1464(display)
