         4809926 function calls (4665996 primitive calls) in 94.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1167/1166    0.022    0.000  128.711    0.110 /usr/lib/python3.12/idlelib/rpc.py:397(pollresponse)
        1    0.015    0.015   83.735   83.735 /home/ali/Desktop/Projects/#03 WasReleasedToday/SPE/video_summarizer.py:267(find_engaging_scenes)
  441/440    0.012    0.000   48.813    0.111 /home/ali/Desktop/Projects/#03 WasReleasedToday/SPE/video_summarizer.py:252(analyze_audio_features)
     9968    0.054    0.000   44.841    0.004 /usr/lib/python3.12/idlelib/rpc.py:383(pollmessage)
     9968    0.145    0.000   41.590    0.004 /usr/lib/python3.12/idlelib/rpc.py:352(pollpacket)
      440    0.007    0.000   36.027    0.082 /home/ali/venv/lib/python3.12/site-packages/librosa/core/audio.py:56(load)
      440    0.001    0.000   35.587    0.081 <decorator-gen-116>:1(__audioread_load)
      440    0.008    0.000   35.586    0.081 /home/ali/venv/lib/python3.12/site-packages/librosa/util/decorators.py:49(__wrapper)
      440    0.003    0.000   35.531    0.081 /home/ali/venv/lib/python3.12/site-packages/librosa/core/audio.py:227(__audioread_load)
18771/9968   34.358    0.002   34.420    0.003 {built-in method select.select}
10423/10417    0.048    0.000   31.205    0.003 /usr/lib/python3.12/queue.py:154(get)
      454    0.002    0.000   31.167    0.069 /home/ali/venv/lib/python3.12/site-packages/audioread/ffdec.py:179(read_data)
9995/8562   27.643    0.003   27.616    0.003 {method 'read' of '_io.BufferedReader' objects}
7838/3699    0.030    0.000   19.257    0.005 /home/ali/venv/lib/python3.12/site-packages/moviepy/decorators.py:78(wrapper)
7398/3699    0.007    0.000   19.200    0.005 <decorator-gen-11>:1(get_frame)
7398/3699    0.006    0.000   19.165    0.005 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:77(get_frame)
     3699    0.003    0.000   19.163    0.005 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:136(<lambda>)
     3699    0.004    0.000   19.160    0.005 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:187(<lambda>)
      879    0.013    0.000   16.541    0.019 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_reader.py:116(read_frame)
      440    0.001    0.000   14.018    0.032 <decorator-gen-36>:1(subclip)
      440    0.001    0.000   14.009    0.032 <decorator-gen-35>:1(subclip)
      440    0.001    0.000   14.008    0.032 /home/ali/venv/lib/python3.12/site-packages/moviepy/decorators.py:24(apply_to_mask)
      440    0.000    0.000   14.007    0.032 <decorator-gen-34>:1(subclip)
      440    0.004    0.000   14.006    0.032 /home/ali/venv/lib/python3.12/site-packages/moviepy/decorators.py:36(apply_to_audio)
      880    0.005    0.000   14.003    0.016 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:354(subclip)
      880    0.002    0.000   13.998    0.016 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:153(fl_time)
      880    0.003    0.000   13.996    0.016 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:95(fl)
      880    0.002    0.000   13.991    0.016 /home/ali/venv/lib/python3.12/site-packages/moviepy/decorators.py:10(outplace)
      440    0.001    0.000   13.978    0.032 <decorator-gen-61>:1(set_make_frame)
      440    0.003    0.000   13.960    0.032 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/VideoClip.py:636(set_make_frame)
      440    0.001    0.000   13.499    0.031 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/VideoFileClip.py:113(<lambda>)
      440    0.002    0.000   13.478    0.031 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_reader.py:153(get_frame)
      440    0.007    0.000   13.174    0.030 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/VideoFileClip.py:78(__init__)
  441/440    0.001    0.000   11.666    0.027 <decorator-gen-45>:1(write_audiofile)
 4580/440    0.011    0.000   11.664    0.027 /home/ali/venv/lib/python3.12/site-packages/moviepy/decorators.py:47(requires_duration)
  441/440    0.001    0.000   11.663    0.027 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/AudioClip.py:145(write_audiofile)
  441/440    0.001    0.000   11.662    0.027 <decorator-gen-9>:1(ffmpeg_audiowrite)
      440    0.011    0.000   11.604    0.026 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/ffmpeg_audiowriter.py:143(ffmpeg_audiowrite)
     8802    0.046    0.000   10.287    0.001 /usr/lib/python3.12/idlelib/run.py:464(write)
     8803    0.021    0.000   10.194    0.001 /usr/lib/python3.12/idlelib/rpc.py:216(remotecall)
     8802    0.006    0.000   10.155    0.001 /usr/lib/python3.12/idlelib/rpc.py:606(__call__)
     8803    0.034    0.000    9.776    0.001 /usr/lib/python3.12/idlelib/rpc.py:246(asyncreturn)
     8803    0.091    0.000    8.677    0.001 /usr/lib/python3.12/idlelib/rpc.py:290(getresponse)
      440    0.032    0.000    8.466    0.019 /home/ali/venv/lib/python3.12/site-packages/audioread/ffdec.py:209(_get_info)
     7484    8.394    0.001    8.394    0.001 {method 'readline' of '_io.BufferedReader' objects}
